datetime,field1,field2,field3,field4
2020-11-06T18:00:00.000Z,7.8,15,5.6,807
2020-11-06T19:00:00.000Z,5.8,14,6.1,868
2020-11-06T20:00:00.000Z,8,16,6.4,881
2020-11-06T21:00:00.000Z,6.9,16,5.2,803
2020-11-06T22:00:00.000Z,6.9,22,6.4,961
2020-11-06T23:00:00.000Z,7.7,19,5.2,955
2020-11-07T00:00:00.000Z,7.9,21,6.7,726
2020-11-07T01:00:00.000Z,8.2,22,5.8,1022
2020-11-07T02:00:00.000Z,7.1,15,7.8,987
2020-11-07T03:00:00.000Z,7.2,21,6.8,1008
2020-11-07T04:00:00.000Z,5.6,22,8.3,978
2020-11-07T05:00:00.000Z,8.3,15,5.2,853
2020-11-07T06:00:00.000Z,8.5,18,6.5,741
2020-11-07T07:00:00.000Z,6.7,19,5.7,792
2020-11-07T08:00:00.000Z,5.9,19,6.7,860
2020-11-07T09:00:00.000Z,6.3,18,6.6,776
2020-11-07T10:00:00.000Z,7.7,14,7.1,831
2020-11-07T11:00:00.000Z,7.1,21,7.6,940
2020-11-07T12:00:00.000Z,6.4,21,8.2,632
2020-11-07T13:00:00.000Z,6.2,20,5.2,955
2020-11-07T14:00:00.000Z,6.6,21,8.2,667
2020-11-07T15:00:00.000Z,8.7,20,5.3,893
2020-11-07T16:00:00.000Z,7.8,21,6.5,736
2020-11-07T17:00:00.000Z,7.7,15,7.7,688
2020-11-07T18:00:00.000Z,8.6,15,7.2,646
2020-11-07T19:00:00.000Z,7.6,17,5.5,890
2020-11-07T20:00:00.000Z,5.8,15,5.8,853
2020-11-07T21:00:00.000Z,7.8,14,6.2,775
2020-11-07T22:00:00.000Z,7,18,8,908
2020-11-07T23:00:00.000Z,5.8,22,7.6,816
2020-11-08T00:00:00.000Z,8.7,15,8.4,639
2020-11-08T01:00:00.000Z,5.6,22,6.2,997
2020-11-08T02:00:00.000Z,7.9,21,6.6,665
2020-11-08T03:00:00.000Z,6.2,15,7.7,894
2020-11-08T04:00:00.000Z,6.3,22,7.8,834
2020-11-08T05:00:00.000Z,7.4,20,5.2,1012
2020-11-08T06:00:00.000Z,8.2,17,5.4,938
2020-11-08T07:00:00.000Z,6.2,14,7.7,692
2020-11-08T08:00:00.000Z,5.7,14,6.6,958
2020-11-08T09:00:00.000Z,7.3,20,8,800
2020-11-08T10:00:00.000Z,8.6,17,6.7,857
2020-11-08T11:00:00.000Z,7.4,18,7.7,721
2020-11-08T12:00:00.000Z,7.4,19,5.3,928
2020-11-08T13:00:00.000Z,5.6,20,5.4,1010
2020-11-08T14:00:00.000Z,5.6,14,6.9,1004
2020-11-08T15:00:00.000Z,8.6,19,5.9,938
2020-11-08T16:00:00.000Z,7.6,21,7.8,831
2020-11-08T17:00:00.000Z,6.3,14,6.3,844
2020-11-08T18:00:00.000Z,6.7,19,8.4,735
2020-11-08T19:00:00.000Z,8.4,18,5.3,913
2020-11-08T20:00:00.000Z,7.3,19,6.9,618
2020-11-08T21:00:00.000Z,7.9,14,8.1,803
2020-11-08T22:00:00.000Z,8.1,22,6.4,865
2020-11-08T23:00:00.000Z,7.1,15,5.4,943
2020-11-09T00:00:00.000Z,6.5,19,8.3,825
2020-11-09T01:00:00.000Z,8,16,5.9,712
2020-11-09T02:00:00.000Z,6.6,15,8.1,633
2020-11-09T03:00:00.000Z,7.6,17,7.2,658
2020-11-09T04:00:00.000Z,5.8,19,5.6,836
2020-11-09T05:00:00.000Z,6.2,16,7.1,672
2020-11-09T06:00:00.000Z,7.5,22,7.7,918
2020-11-09T07:00:00.000Z,5.4,16,7.8,826
2020-11-09T08:00:00.000Z,8.3,20,7.2,670
2020-11-09T09:00:00.000Z,8.2,19,8.2,885
2020-11-09T10:00:00.000Z,6.5,20,5.9,631
2020-11-09T11:00:00.000Z,7.3,17,6.4,896
2020-11-09T12:00:00.000Z,6.6,18,5.3,980
2020-11-09T13:00:00.000Z,7.1,15,5.7,781
2020-11-09T14:00:00.000Z,8.2,14,7.1,617
2020-11-09T15:00:00.000Z,6.9,17,8.1,997
2020-11-09T16:00:00.000Z,8.2,19,7,1012
2020-11-09T17:00:00.000Z,8.5,20,7.8,1002
2020-11-09T18:00:00.000Z,6,21,7.2,831
2020-11-09T19:00:00.000Z,8.3,22,5.9,729
2020-11-09T20:00:00.000Z,7.7,20,5.9,863
2020-11-09T21:00:00.000Z,8.2,20,6.6,649
2020-11-09T22:00:00.000Z,6,17,5.8,864
2020-11-09T23:00:00.000Z,8.8,14,5.2,767
2020-11-10T00:00:00.000Z,6.3,17,5.4,705
2020-11-10T01:00:00.000Z,5.8,20,7.2,847
2020-11-10T02:00:00.000Z,5.3,15,6.1,728
2020-11-10T03:00:00.000Z,7.5,22,6.3,635
2020-11-10T04:00:00.000Z,7.6,17,7,838
2020-11-10T05:00:00.000Z,8,15,6.6,836
2020-11-10T06:00:00.000Z,5.9,14,6.9,833
2020-11-10T07:00:00.000Z,7.3,16,7.7,808
2020-11-10T08:00:00.000Z,6.6,22,8,703
2020-11-10T09:00:00.000Z,7,20,7.5,751
2020-11-10T10:00:00.000Z,6.7,20,8.4,806
2020-11-10T11:00:00.000Z,7.4,19,5.4,669
2020-11-10T12:00:00.000Z,8.7,18,5.4,839
2020-11-10T13:00:00.000Z,7.3,19,5.7,693
2020-11-10T14:00:00.000Z,7.7,21,5.8,674
2020-11-10T15:00:00.000Z,7.8,18,6.9,854
2020-11-10T16:00:00.000Z,7.8,21,5.1,671
2020-11-10T17:00:00.000Z,7.6,16,7.2,686
2020-11-10T18:00:00.000Z,5.5,20,8.3,618
2020-11-10T19:00:00.000Z,7.6,20,5.7,1016
2020-11-10T20:00:00.000Z,7.3,21,5.5,945
2020-11-10T21:00:00.000Z,7.1,21,6.1,919
2020-11-10T22:00:00.000Z,6.9,14,8.4,723
2020-11-10T23:00:00.000Z,7.3,15,5.2,925
2020-11-11T00:00:00.000Z,8.8,22,6.7,773
2020-11-11T01:00:00.000Z,7.7,19,6.9,1003
2020-11-11T02:00:00.000Z,8.5,20,6.5,706
2020-11-11T03:00:00.000Z,6.3,22,7.6,929
2020-11-11T04:00:00.000Z,8.4,19,5.8,729
2020-11-11T05:00:00.000Z,6.4,16,6.5,848
2020-11-11T06:00:00.000Z,6.7,18,6.4,844
2020-11-11T07:00:00.000Z,8.5,15,5.6,731
2020-11-11T08:00:00.000Z,8.2,22,5.4,926
2020-11-11T09:00:00.000Z,8.4,22,5.3,628
2020-11-11T10:00:00.000Z,7.8,21,5.6,892
2020-11-11T11:00:00.000Z,8.5,20,5.3,890
2020-11-11T12:00:00.000Z,6.3,20,7.1,935
2020-11-11T13:00:00.000Z,8.6,20,6.6,800
2020-11-11T14:00:00.000Z,7.1,16,5.3,914
2020-11-11T15:00:00.000Z,7.6,18,6.7,701
2020-11-11T16:00:00.000Z,8.7,20,7.3,736
2020-11-11T17:00:00.000Z,5.5,16,6,782
2020-11-11T18:00:00.000Z,7.5,17,7.3,943
2020-11-11T19:00:00.000Z,8,20,6.1,875
2020-11-11T20:00:00.000Z,5.6,15,6.8,863
2020-11-11T21:00:00.000Z,7.7,21,8,761
2020-11-11T22:00:00.000Z,5.9,22,7.9,631
2020-11-11T23:00:00.000Z,5.5,15,6.3,697
2020-11-12T00:00:00.000Z,8,14,5.6,749
2020-11-12T01:00:00.000Z,5.5,16,7.8,945
2020-11-12T02:00:00.000Z,5.4,17,7.9,653
2020-11-12T03:00:00.000Z,8.9,20,7.8,992
2020-11-12T04:00:00.000Z,6.1,19,6.7,980
2020-11-12T05:00:00.000Z,7.6,20,5.6,839
2020-11-12T06:00:00.000Z,8.6,14,6.9,975
2020-11-12T07:00:00.000Z,7.1,14,6.1,759
2020-11-12T08:00:00.000Z,8.2,20,5.9,622
2020-11-12T09:00:00.000Z,5.4,20,7.4,883
2020-11-12T10:00:00.000Z,8.1,18,7.5,805
2020-11-12T11:00:00.000Z,7.4,19,6.2,1023
2020-11-12T12:00:00.000Z,6.4,21,6.3,979
2020-11-12T13:00:00.000Z,6.8,17,7.8,814
2020-11-12T14:00:00.000Z,8.2,19,7,945
2020-11-12T15:00:00.000Z,7.3,15,8.4,700
2020-11-12T16:00:00.000Z,7.5,17,7,913
2020-11-12T17:00:00.000Z,5.9,20,6.1,918
2020-11-12T18:00:00.000Z,5.9,18,5.3,711
2020-11-12T19:00:00.000Z,7.3,15,5.3,994
2020-11-12T20:00:00.000Z,6.7,16,5.6,1005
2020-11-12T21:00:00.000Z,8.3,15,5.4,1021
2020-11-12T22:00:00.000Z,6.5,22,6.6,998
2020-11-12T23:00:00.000Z,7.3,17,8.2,965
2020-11-13T00:00:00.000Z,5.6,17,7.3,767
2020-11-13T01:00:00.000Z,8.2,18,7,911
2020-11-13T02:00:00.000Z,6.8,22,8.2,873
2020-11-13T03:00:00.000Z,7.6,18,6,957
2020-11-13T04:00:00.000Z,5.4,14,5.8,869
2020-11-13T05:00:00.000Z,8.1,15,6.7,747
2020-11-13T06:00:00.000Z,8.3,18,6.6,763
2020-11-13T07:00:00.000Z,8.8,21,6.8,864
2020-11-13T08:00:00.000Z,6.8,17,6,762
2020-11-13T09:00:00.000Z,8.6,16,6.2,854
2020-11-13T10:00:00.000Z,8.4,22,6.9,841
2020-11-13T11:00:00.000Z,8.5,14,7.7,794
2020-11-13T12:00:00.000Z,7,20,7.9,933
2020-11-13T13:00:00.000Z,7.1,17,5.9,649
2020-11-13T14:00:00.000Z,6.6,21,8.4,813
2020-11-13T15:00:00.000Z,8.4,14,6.4,1000
2020-11-13T16:00:00.000Z,8.4,19,6.9,784
2020-11-13T17:00:00.000Z,7,16,6.8,639
2020-11-13T18:00:00.000Z,7.6,22,6.3,697
2020-11-13T19:00:00.000Z,6.9,19,5.8,633
2020-11-13T20:00:00.000Z,8,19,7.2,716
2020-11-13T21:00:00.000Z,8.7,18,6.2,812
2020-11-13T22:00:00.000Z,7,16,6.2,815
2020-11-13T23:00:00.000Z,7.7,14,6.1,979
2020-11-14T00:00:00.000Z,7.4,17,6.2,636
2020-11-14T01:00:00.000Z,6.7,14,7.7,953
2020-11-14T02:00:00.000Z,8.1,22,6.1,752
2020-11-14T03:00:00.000Z,8.8,21,5.2,631
2020-11-14T04:00:00.000Z,6.1,19,7.6,658
2020-11-14T05:00:00.000Z,6.5,20,5.4,812
2020-11-14T06:00:00.000Z,8.5,17,7.8,643
2020-11-14T07:00:00.000Z,7.6,16,8.3,870
2020-11-14T08:00:00.000Z,6.8,17,8.1,813
2020-11-14T09:00:00.000Z,8.2,22,5.6,850
2020-11-14T10:00:00.000Z,8.2,17,8.3,628
2020-11-14T11:00:00.000Z,8.7,20,6.9,897
2020-11-14T12:00:00.000Z,6.8,14,7,951
2020-11-14T13:00:00.000Z,6,21,6.4,621
2020-11-14T14:00:00.000Z,7.9,22,5.5,839
2020-11-14T15:00:00.000Z,8.3,19,8.4,690
2020-11-14T16:00:00.000Z,6.8,15,5.7,752
2020-11-14T17:00:00.000Z,8.1,15,5.5,747
2020-11-14T18:00:00.000Z,7.5,19,6.7,920
2020-11-14T19:00:00.000Z,6.3,21,6.7,945
2020-11-14T20:00:00.000Z,6.4,15,6,979
2020-11-14T21:00:00.000Z,7.2,22,6.8,1002
2020-11-14T22:00:00.000Z,8.8,20,6.8,802
2020-11-14T23:00:00.000Z,6.2,15,5.1,668
2020-11-15T00:00:00.000Z,8.1,16,8.3,1004
2020-11-15T01:00:00.000Z,7.6,19,7.1,977
2020-11-15T02:00:00.000Z,6.6,19,7.9,929
2020-11-15T03:00:00.000Z,7.1,21,6.5,624
2020-11-15T04:00:00.000Z,7.6,19,6.6,749
2020-11-15T05:00:00.000Z,7.2,15,5.1,958
2020-11-15T06:00:00.000Z,8,17,7.7,796
2020-11-15T07:00:00.000Z,7.8,16,6.5,1019
2020-11-15T08:00:00.000Z,5.4,21,5.4,666
2020-11-15T09:00:00.000Z,6.8,21,6,940
2020-11-15T10:00:00.000Z,6.1,20,8.4,622
2020-11-15T11:00:00.000Z,7.3,17,5.9,739
2020-11-15T12:00:00.000Z,5.5,15,7.5,773
2020-11-15T13:00:00.000Z,7.2,18,6.6,1017
2020-11-15T14:00:00.000Z,6.7,14,7.7,641
2020-11-15T15:00:00.000Z,7.4,21,5.9,1021
2020-11-15T16:00:00.000Z,8.3,16,6.6,868
2020-11-15T17:00:00.000Z,5.5,16,7.3,736
2020-11-15T18:00:00.000Z,7,19,8,931
2020-11-15T19:00:00.000Z,5.6,14,6.3,784
2020-11-15T20:00:00.000Z,8.3,14,5.5,688
2020-11-15T21:00:00.000Z,6.9,15,8.3,915
2020-11-15T22:00:00.000Z,8.5,16,8.1,655
2020-11-15T23:00:00.000Z,8.7,20,6.5,971
2020-11-16T00:00:00.000Z,7.8,19,8.4,755
2020-11-16T01:00:00.000Z,7.4,15,7.7,947
2020-11-16T02:00:00.000Z,7.5,16,7.6,825
2020-11-16T03:00:00.000Z,6.7,14,5.6,671
2020-11-16T04:00:00.000Z,8.6,19,7.5,924
2020-11-16T05:00:00.000Z,7.2,16,7.9,719
2020-11-16T06:00:00.000Z,6.3,19,7.7,938
2020-11-16T07:00:00.000Z,7.1,17,8,665
2020-11-16T08:00:00.000Z,6.3,17,7.2,1001
2020-11-16T09:00:00.000Z,5.7,18,7.1,690
2020-11-16T10:00:00.000Z,8.1,20,6,993
2020-11-16T11:00:00.000Z,6.9,19,7.8,770
2020-11-16T12:00:00.000Z,7.7,21,8,970
2020-11-16T13:00:00.000Z,7.8,20,6.9,621
2020-11-16T14:00:00.000Z,6,22,5.5,1009
2020-11-16T15:00:00.000Z,6.5,20,6.9,869
2020-11-16T16:00:00.000Z,6.7,20,8.1,829
2020-11-16T17:00:00.000Z,8.1,21,8.4,865
2020-11-16T18:00:00.000Z,6.6,17,8,749
2020-11-16T19:00:00.000Z,7.2,22,5.1,977
2020-11-16T20:00:00.000Z,5.3,22,5.4,797
2020-11-16T21:00:00.000Z,5.9,17,5.8,907
2020-11-16T22:00:00.000Z,6.9,17,5.6,690
2020-11-16T23:00:00.000Z,8,22,7.9,877
2020-11-17T00:00:00.000Z,5.5,14,8,726
2020-11-17T01:00:00.000Z,7.2,21,5.9,931
2020-11-17T02:00:00.000Z,8.8,16,7.5,902
2020-11-17T03:00:00.000Z,7.8,19,7.7,918
2020-11-17T04:00:00.000Z,6.2,18,6.5,724
2020-11-17T05:00:00.000Z,6.3,19,6.2,941
2020-11-17T06:00:00.000Z,7.4,16,8.2,767
2020-11-17T07:00:00.000Z,7.4,15,6.3,787
2020-11-17T08:00:00.000Z,6.2,17,8.2,792
2020-11-17T09:00:00.000Z,6.4,15,7.6,983
2020-11-17T10:00:00.000Z,7.6,17,7.2,642
2020-11-17T11:00:00.000Z,8,22,5.6,985
2020-11-17T12:00:00.000Z,5.4,19,8.2,896
2020-11-17T13:00:00.000Z,8.3,16,6.8,683
2020-11-17T14:00:00.000Z,8.3,16,5.6,785
2020-11-17T15:00:00.000Z,5.8,15,6.1,794
2020-11-17T16:00:00.000Z,6.1,22,5.3,850
2020-11-17T17:00:00.000Z,7.1,19,6.7,994
2020-11-17T18:00:00.000Z,8.8,17,7.3,973
2020-11-17T19:00:00.000Z,5.4,21,7.5,1022
2020-11-17T20:00:00.000Z,6.5,19,7,872
2020-11-17T21:00:00.000Z,6.4,18,6.5,720
2020-11-17T22:00:00.000Z,6.5,22,5.3,718
2020-11-17T23:00:00.000Z,5.4,14,7.6,823
2020-11-18T00:00:00.000Z,5.8,21,5.7,743
2020-11-18T01:00:00.000Z,7.8,14,7.1,926
2020-11-18T02:00:00.000Z,8.2,20,7.1,856
2020-11-18T03:00:00.000Z,8.5,16,6,1009
2020-11-18T04:00:00.000Z,5.4,21,7.5,913
2020-11-18T05:00:00.000Z,6.1,21,8.3,757
2020-11-18T06:00:00.000Z,8.7,20,6.1,813
2020-11-18T07:00:00.000Z,7.4,15,7.1,663
2020-11-18T08:00:00.000Z,6.7,16,5.2,798
2020-11-18T09:00:00.000Z,5.8,21,6.8,987
2020-11-18T10:00:00.000Z,8.8,14,7.7,847
2020-11-18T11:00:00.000Z,6.5,19,5.1,909
2020-11-18T12:00:00.000Z,8.4,19,8,929
2020-11-18T13:00:00.000Z,6.8,22,5.2,961
2020-11-18T14:00:00.000Z,7.6,22,5.8,953
2020-11-18T15:00:00.000Z,6.6,19,5.5,683
2020-11-18T16:00:00.000Z,7,20,6.7,689
2020-11-18T17:00:00.000Z,5.7,19,7.2,914
2020-11-18T18:00:00.000Z,7.4,21,7.3,780
2020-11-18T19:00:00.000Z,5.5,14,7.1,783
2020-11-18T20:00:00.000Z,6.4,15,8.1,904
2020-11-18T21:00:00.000Z,6.4,16,5.4,966
2020-11-18T22:00:00.000Z,6.8,18,7.4,722
2020-11-18T23:00:00.000Z,6.2,20,8.3,660
2020-11-19T00:00:00.000Z,7.7,16,5.8,919
2020-11-19T01:00:00.000Z,8.4,21,7.6,1008
2020-11-19T02:00:00.000Z,5.4,17,7.7,760
2020-11-19T03:00:00.000Z,7.3,14,7.5,629
2020-11-19T04:00:00.000Z,5.7,18,5.8,781
2020-11-19T05:00:00.000Z,7.2,22,6.6,836
2020-11-19T06:00:00.000Z,6.1,17,6.4,970
2020-11-19T07:00:00.000Z,5.8,17,7.5,992
2020-11-19T08:00:00.000Z,7.3,19,6.6,949
2020-11-19T09:00:00.000Z,7.1,18,6.7,994
2020-11-19T10:00:00.000Z,8.9,14,7.4,926
2020-11-19T11:00:00.000Z,6,14,5.6,749
2020-11-19T12:00:00.000Z,7.5,14,6,767
2020-11-19T13:00:00.000Z,6.3,18,7.6,974
2020-11-19T14:00:00.000Z,8,18,6.6,792
2020-11-19T15:00:00.000Z,5.7,19,7.1,787
2020-11-19T16:00:00.000Z,6.3,16,7.2,708
2020-11-19T17:00:00.000Z,8.3,14,7.6,912
2020-11-19T18:00:00.000Z,8.2,19,5.5,759
2020-11-19T19:00:00.000Z,8.8,17,7.8,788
2020-11-19T20:00:00.000Z,6.4,19,8.2,916
2020-11-19T21:00:00.000Z,8.7,16,8.4,753
2020-11-19T22:00:00.000Z,6,21,5.4,848
2020-11-19T23:00:00.000Z,8.8,18,8.5,784
2020-11-20T00:00:00.000Z,8.7,16,6.5,644
2020-11-20T01:00:00.000Z,8.4,19,8.1,682
2020-11-20T02:00:00.000Z,6.2,21,7.3,964
2020-11-20T03:00:00.000Z,5.4,21,8.2,988
2020-11-20T04:00:00.000Z,7.2,17,8.4,788
2020-11-20T05:00:00.000Z,8.4,16,5.3,780
2020-11-20T06:00:00.000Z,6.2,20,7.3,1004
2020-11-20T07:00:00.000Z,6.6,19,6.9,631
2020-11-20T08:00:00.000Z,6.9,19,7.5,905
2020-11-20T09:00:00.000Z,7.7,17,8.3,987
2020-11-20T10:00:00.000Z,7.3,22,5.3,940
2020-11-20T11:00:00.000Z,6.2,18,6,832
2020-11-20T12:00:00.000Z,7.2,22,5.1,853
2020-11-20T13:00:00.000Z,8.8,18,5.2,1007
2020-11-20T14:00:00.000Z,7.8,19,8,622
2020-11-20T15:00:00.000Z,7.6,20,6.5,793
2020-11-20T16:00:00.000Z,6.1,15,7.2,953
2020-11-20T17:00:00.000Z,6.3,16,7.6,998
2020-11-20T18:00:00.000Z,5.7,14,7,812
2020-11-20T19:00:00.000Z,7.9,19,8.4,900
2020-11-20T20:00:00.000Z,7.1,20,6.3,709
2020-11-20T21:00:00.000Z,6.1,14,7.6,801
2020-11-20T22:00:00.000Z,5.8,15,5.3,818
2020-11-20T23:00:00.000Z,6.2,14,6.3,978
2020-11-21T00:00:00.000Z,5.6,18,5.2,1022
2020-11-21T01:00:00.000Z,8.2,15,6.9,839
2020-11-21T02:00:00.000Z,6.2,15,8.4,974
2020-11-21T03:00:00.000Z,8.4,17,8.5,844
2020-11-21T04:00:00.000Z,5.4,19,6.9,954
2020-11-21T05:00:00.000Z,5.5,22,5.4,803
